Match Number,Round Number,Date,Location,Home Team,Away Team,Result
594,12,2025-01-20 00:10:00,Fiserv Forum,Milwaukee Bucks,Philadelphia 76ers,
595,12,2025-01-20 00:10:00,Paycom Center,Oklahoma City Thunder,Brooklyn Nets,
596,12,2025-01-20 02:10:00,Intuit Dome,LA Clippers,Los Angeles Lakers,
597,12,2025-01-20 02:10:00,Moda Center,Portland Trail Blazers,Chicago Bulls,
598,12,2025-01-20 02:10:00,Golden 1 Center,Sacramento Kings,Washington Wizards,
599,12,2025-01-20 17:10:00,Spectrum Center,Charlotte Hornets,Dallas Mavericks,
600,12,2025-01-20 19:10:00,Toyota Center,Houston Rockets,Detroit Pistons,
601,12,2025-01-20 19:40:00,FedExForum,Memphis Grizzlies,Minnesota Timberwolves,
602,12,2025-01-20 20:10:00,Madison Square Garden,New York Knicks,Atlanta Hawks,
603,12,2025-01-20 20:40:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Phoenix Suns,
604,12,2025-01-20 22:10:00,Chase Center,Golden State Warriors,Boston Celtics,
605,12,2025-01-21 01:10:00,Smoothie King Center,New Orleans Pelicans,Utah Jazz,
606,12,2025-01-22 00:40:00,Barclays Center,Brooklyn Nets,New York Knicks,
607,12,2025-01-22 00:40:00,Kaseya Center,Miami Heat,Portland Trail Blazers,
608,12,2025-01-22 00:40:00,Scotiabank Arena,Toronto Raptors,Orlando Magic,
609,12,2025-01-22 03:10:00,Ball Arena,Denver Nuggets,Philadelphia 76ers,
610,12,2025-01-22 03:40:00,Crypto.com Arena,Los Angeles Lakers,Washington Wizards,
611,12,2025-01-22 03:40:00,Intuit Dome,LA Clippers,Chicago Bulls,
612,13,2025-01-23 00:40:00,State Farm Arena,Atlanta Hawks,Detroit Pistons,
613,13,2025-01-23 00:40:00,Barclays Center,Brooklyn Nets,Phoenix Suns,
614,13,2025-01-23 00:40:00,American Airlines Center,Dallas Mavericks,Minnesota Timberwolves,
615,13,2025-01-23 01:10:00,Toyota Center,Houston Rockets,Cleveland Cavaliers,
616,13,2025-01-23 01:10:00,FedExForum,Memphis Grizzlies,Charlotte Hornets,
617,13,2025-01-23 01:10:00,Smoothie King Center,New Orleans Pelicans,Milwaukee Bucks,
618,13,2025-01-23 01:10:00,Paycom Center,Oklahoma City Thunder,Utah Jazz,
619,13,2025-01-23 03:10:00,Golden 1 Center,Sacramento Kings,Golden State Warriors,
620,13,2025-01-23 03:40:00,Intuit Dome,LA Clippers,Boston Celtics,
621,13,2025-01-23 19:10:00,Accor Arena,Indiana Pacers,San Antonio Spurs,
622,13,2025-01-24 00:10:00,Kia Center,Orlando Magic,Portland Trail Blazers,
623,13,2025-01-24 00:40:00,State Farm Arena,Atlanta Hawks,Toronto Raptors,
624,13,2025-01-24 00:40:00,Fiserv Forum,Milwaukee Bucks,Miami Heat,
625,13,2025-01-24 01:10:00,Paycom Center,Oklahoma City Thunder,Dallas Mavericks,
626,13,2025-01-24 02:10:00,Ball Arena,Denver Nuggets,Sacramento Kings,
627,13,2025-01-24 02:10:00,Delta Center,Utah Jazz,Washington Wizards,
628,13,2025-01-24 03:10:00,Chase Center,Golden State Warriors,Chicago Bulls,
629,13,2025-01-24 03:10:00,Crypto.com Arena,Los Angeles Lakers,Boston Celtics,
630,13,2025-01-25 00:10:00,Spectrum Center,Charlotte Hornets,Portland Trail Blazers,
631,13,2025-01-25 00:10:00,Wells Fargo Center,Philadelphia 76ers,Cleveland Cavaliers,
632,13,2025-01-25 01:10:00,FedExForum,Memphis Grizzlies,New Orleans Pelicans,
633,13,2025-01-25 17:10:00,Accor Arena,San Antonio Spurs,Indiana Pacers,
634,13,2025-01-25 20:10:00,Target Center,Minnesota Timberwolves,Denver Nuggets,
635,13,2025-01-25 22:40:00,American Airlines Center,Dallas Mavericks,Boston Celtics,
636,13,2025-01-25 23:10:00,Barclays Center,Brooklyn Nets,Miami Heat,
637,13,2025-01-26 00:10:00,Spectrum Center,Charlotte Hornets,New Orleans Pelicans,
638,13,2025-01-26 00:10:00,Kia Center,Orlando Magic,Detroit Pistons,
639,13,2025-01-26 00:40:00,State Farm Arena,Atlanta Hawks,Toronto Raptors,
640,13,2025-01-26 00:40:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Houston Rockets,
641,13,2025-01-26 00:40:00,Madison Square Garden,New York Knicks,Sacramento Kings,
642,13,2025-01-26 01:10:00,United Center,Chicago Bulls,Philadelphia 76ers,
643,13,2025-01-26 01:10:00,FedExForum,Memphis Grizzlies,Utah Jazz,
644,13,2025-01-26 01:40:00,Chase Center,Golden State Warriors,Los Angeles Lakers,
645,13,2025-01-26 02:10:00,Footprint Center,Phoenix Suns,Washington Wizards,
646,13,2025-01-26 03:40:00,Intuit Dome,LA Clippers,Milwaukee Bucks,
647,13,2025-01-26 23:10:00,Moda Center,Portland Trail Blazers,Oklahoma City Thunder,
648,13,2025-01-28 00:10:00,Spectrum Center,Charlotte Hornets,Los Angeles Lakers,
649,13,2025-01-28 00:10:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Detroit Pistons,
650,13,2025-01-28 00:40:00,TD Garden,Boston Celtics,Houston Rockets,
651,13,2025-01-28 00:40:00,Barclays Center,Brooklyn Nets,Sacramento Kings,
652,13,2025-01-28 00:40:00,Kaseya Center,Miami Heat,Orlando Magic,
653,13,2025-01-28 00:40:00,Madison Square Garden,New York Knicks,Memphis Grizzlies,
654,13,2025-01-28 00:40:00,Scotiabank Arena,Toronto Raptors,New Orleans Pelicans,
655,13,2025-01-28 01:10:00,United Center,Chicago Bulls,Denver Nuggets,
656,13,2025-01-28 01:10:00,Target Center,Minnesota Timberwolves,Atlanta Hawks,
657,13,2025-01-28 01:40:00,American Airlines Center,Dallas Mavericks,Washington Wizards,
658,13,2025-01-28 02:10:00,Delta Center,Utah Jazz,Milwaukee Bucks,
659,13,2025-01-28 02:40:00,Footprint Center,Phoenix Suns,LA Clippers,
660,13,2025-01-29 00:40:00,Wells Fargo Center,Philadelphia 76ers,Los Angeles Lakers,
661,13,2025-01-29 03:10:00,Chase Center,Golden State Warriors,Utah Jazz,
662,13,2025-01-29 03:10:00,Moda Center,Portland Trail Blazers,Milwaukee Bucks,
663,14,2025-01-30 00:10:00,Spectrum Center,Charlotte Hornets,Brooklyn Nets,
664,14,2025-01-30 00:10:00,Gainbridge Fieldhouse,Indiana Pacers,Detroit Pistons,
665,14,2025-01-30 00:10:00,Capital One Arena,Washington Wizards,Toronto Raptors,
666,14,2025-01-30 00:40:00,TD Garden,Boston Celtics,Chicago Bulls,
667,14,2025-01-30 00:40:00,Kaseya Center,Miami Heat,Cleveland Cavaliers,
668,14,2025-01-30 00:40:00,Madison Square Garden,New York Knicks,Denver Nuggets,
669,14,2025-01-30 00:40:00,Wells Fargo Center,Philadelphia 76ers,Sacramento Kings,
670,14,2025-01-30 01:10:00,Smoothie King Center,New Orleans Pelicans,Dallas Mavericks,
671,14,2025-01-30 01:10:00,Frost Bank Center,San Antonio Spurs,LA Clippers,
672,14,2025-01-30 02:10:00,Footprint Center,Phoenix Suns,Minnesota Timberwolves,
673,14,2025-01-30 03:10:00,Chase Center,Golden State Warriors,Oklahoma City Thunder,
674,14,2025-01-31 00:10:00,Capital One Arena,Washington Wizards,Los Angeles Lakers,
675,14,2025-01-31 00:40:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Atlanta Hawks,
676,14,2025-01-31 00:40:00,FedExForum,Memphis Grizzlies,Houston Rockets,
677,14,2025-01-31 03:10:00,Delta Center,Utah Jazz,Minnesota Timberwolves,
678,14,2025-01-31 03:10:00,Moda Center,Portland Trail Blazers,Orlando Magic,
679,14,2025-02-01 00:10:00,Spectrum Center,Charlotte Hornets,LA Clippers,
680,14,2025-02-01 00:10:00,Little Caesars Arena,Detroit Pistons,Dallas Mavericks,
681,14,2025-02-01 00:40:00,Wells Fargo Center,Philadelphia 76ers,Denver Nuggets,
682,14,2025-02-01 00:40:00,Scotiabank Arena,Toronto Raptors,Chicago Bulls,
683,14,2025-02-01 01:10:00,Smoothie King Center,New Orleans Pelicans,Boston Celtics,
684,14,2025-02-01 01:10:00,Frost Bank Center,San Antonio Spurs,Milwaukee Bucks,
685,14,2025-02-01 03:10:00,Chase Center,Golden State Warriors,Phoenix Suns,
686,14,2025-02-01 22:10:00,Gainbridge Fieldhouse,Indiana Pacers,Atlanta Hawks,
687,14,2025-02-01 22:10:00,Delta Center,Utah Jazz,Orlando Magic,
688,14,2025-02-02 00:10:00,Spectrum Center,Charlotte Hornets,Denver Nuggets,
689,14,2025-02-02 01:10:00,Toyota Center,Houston Rockets,Brooklyn Nets,
690,14,2025-02-02 01:10:00,Target Center,Minnesota Timberwolves,Washington Wizards,
691,14,2025-02-02 01:10:00,Paycom Center,Oklahoma City Thunder,Sacramento Kings,
692,14,2025-02-02 01:40:00,Madison Square Garden,New York Knicks,Los Angeles Lakers,
693,14,2025-02-02 01:40:00,Frost Bank Center,San Antonio Spurs,Miami Heat,
694,14,2025-02-02 03:10:00,Moda Center,Portland Trail Blazers,Phoenix Suns,
695,14,2025-02-02 20:10:00,Little Caesars Arena,Detroit Pistons,Chicago Bulls,
696,14,2025-02-02 20:40:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Dallas Mavericks,
697,14,2025-02-02 20:40:00,Scotiabank Arena,Toronto Raptors,LA Clippers,
698,14,2025-02-02 23:10:00,Wells Fargo Center,Philadelphia 76ers,Boston Celtics,
699,14,2025-02-03 01:40:00,Fiserv Forum,Milwaukee Bucks,Memphis Grizzlies,
700,14,2025-02-04 00:10:00,Spectrum Center,Charlotte Hornets,Washington Wizards,
701,14,2025-02-04 00:10:00,Little Caesars Arena,Detroit Pistons,Atlanta Hawks,
702,14,2025-02-04 00:40:00,Madison Square Garden,New York Knicks,Houston Rockets,
703,14,2025-02-04 01:10:00,FedExForum,Memphis Grizzlies,San Antonio Spurs,
704,14,2025-02-04 01:10:00,Target Center,Minnesota Timberwolves,Sacramento Kings,
705,14,2025-02-04 01:10:00,Paycom Center,Oklahoma City Thunder,Milwaukee Bucks,
706,14,2025-02-04 02:10:00,Ball Arena,Denver Nuggets,New Orleans Pelicans,
707,14,2025-02-04 02:10:00,Delta Center,Utah Jazz,Indiana Pacers,
708,14,2025-02-04 03:10:00,Chase Center,Golden State Warriors,Orlando Magic,
709,14,2025-02-04 03:10:00,Moda Center,Portland Trail Blazers,Phoenix Suns,
710,14,2025-02-05 00:10:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Boston Celtics,
711,14,2025-02-05 00:40:00,Barclays Center,Brooklyn Nets,Houston Rockets,
712,14,2025-02-05 00:40:00,Wells Fargo Center,Philadelphia 76ers,Dallas Mavericks,
713,14,2025-02-05 00:40:00,Scotiabank Arena,Toronto Raptors,New York Knicks,
714,14,2025-02-05 01:10:00,United Center,Chicago Bulls,Miami Heat,
715,14,2025-02-05 03:10:00,Intuit Dome,LA Clippers,Los Angeles Lakers,
716,14,2025-02-05 03:10:00,Moda Center,Portland Trail Blazers,Indiana Pacers,
717,15,2025-02-06 00:10:00,Spectrum Center,Charlotte Hornets,Milwaukee Bucks,
718,15,2025-02-06 00:10:00,Little Caesars Arena,Detroit Pistons,Cleveland Cavaliers,
719,15,2025-02-06 00:40:00,State Farm Arena,Atlanta Hawks,San Antonio Spurs,
720,15,2025-02-06 00:40:00,Barclays Center,Brooklyn Nets,Washington Wizards,
721,15,2025-02-06 00:40:00,Wells Fargo Center,Philadelphia 76ers,Miami Heat,
722,15,2025-02-06 00:40:00,Scotiabank Arena,Toronto Raptors,Memphis Grizzlies,
723,15,2025-02-06 01:10:00,Target Center,Minnesota Timberwolves,Chicago Bulls,
724,15,2025-02-06 01:10:00,Paycom Center,Oklahoma City Thunder,Phoenix Suns,
725,15,2025-02-06 02:10:00,Delta Center,Utah Jazz,Golden State Warriors,
726,15,2025-02-06 03:10:00,Ball Arena,Denver Nuggets,New Orleans Pelicans,
727,15,2025-02-06 03:10:00,Golden 1 Center,Sacramento Kings,Orlando Magic,
728,15,2025-02-07 00:40:00,TD Garden,Boston Celtics,Dallas Mavericks,
729,15,2025-02-07 01:10:00,Target Center,Minnesota Timberwolves,Houston Rockets,
730,15,2025-02-07 02:10:00,Ball Arena,Denver Nuggets,Orlando Magic,
731,15,2025-02-07 03:10:00,Crypto.com Arena,Los Angeles Lakers,Golden State Warriors,
732,15,2025-02-07 03:10:00,Moda Center,Portland Trail Blazers,Sacramento Kings,
733,15,2025-02-07 03:40:00,Intuit Dome,LA Clippers,Indiana Pacers,
734,15,2025-02-08 00:10:00,Spectrum Center,Charlotte Hornets,San Antonio Spurs,
735,15,2025-02-08 00:10:00,Capital One Arena,Washington Wizards,Cleveland Cavaliers,
736,15,2025-02-08 00:40:00,State Farm Arena,Atlanta Hawks,Milwaukee Bucks,
737,15,2025-02-08 00:40:00,Barclays Center,Brooklyn Nets,Miami Heat,
738,15,2025-02-08 00:40:00,Little Caesars Arena,Detroit Pistons,Philadelphia 76ers,
739,15,2025-02-08 01:10:00,Paycom Center,Oklahoma City Thunder,Toronto Raptors,
740,15,2025-02-08 03:10:00,Footprint Center,Phoenix Suns,Utah Jazz,
741,15,2025-02-08 20:10:00,American Airlines Center,Dallas Mavericks,Houston Rockets,
742,15,2025-02-08 21:10:00,Crypto.com Arena,Los Angeles Lakers,Indiana Pacers,
743,15,2025-02-09 00:10:00,Kia Center,Orlando Magic,San Antonio Spurs,
744,15,2025-02-09 00:10:00,Capital One Arena,Washington Wizards,Atlanta Hawks,
745,15,2025-02-09 01:10:00,United Center,Chicago Bulls,Golden State Warriors,
746,15,2025-02-09 01:10:00,FedExForum,Memphis Grizzlies,Oklahoma City Thunder,
747,15,2025-02-09 01:10:00,Target Center,Minnesota Timberwolves,Portland Trail Blazers,
748,15,2025-02-09 01:40:00,Madison Square Garden,New York Knicks,Boston Celtics,
749,15,2025-02-09 02:10:00,Footprint Center,Phoenix Suns,Denver Nuggets,
750,15,2025-02-09 03:10:00,Golden 1 Center,Sacramento Kings,New Orleans Pelicans,
751,15,2025-02-09 03:40:00,Intuit Dome,LA Clippers,Utah Jazz,
752,15,2025-02-09 18:10:00,Little Caesars Arena,Detroit Pistons,Charlotte Hornets,
753,15,2025-02-09 19:10:00,Toyota Center,Houston Rockets,Toronto Raptors,
754,15,2025-02-09 19:10:00,Fiserv Forum,Milwaukee Bucks,Philadelphia 76ers,
755,15,2025-02-11 00:10:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Minnesota Timberwolves,
756,15,2025-02-11 00:10:00,Kia Center,Orlando Magic,Atlanta Hawks,
757,15,2025-02-11 00:10:00,Capital One Arena,Washington Wizards,San Antonio Spurs,
758,15,2025-02-11 00:40:00,Barclays Center,Brooklyn Nets,Charlotte Hornets,
759,15,2025-02-11 00:40:00,Kaseya Center,Miami Heat,Boston Celtics,
760,15,2025-02-11 01:10:00,Fiserv Forum,Milwaukee Bucks,Golden State Warriors,
761,15,2025-02-11 01:10:00,Paycom Center,Oklahoma City Thunder,New Orleans Pelicans,
762,15,2025-02-11 01:40:00,American Airlines Center,Dallas Mavericks,Sacramento Kings,
763,15,2025-02-11 02:10:00,Ball Arena,Denver Nuggets,Portland Trail Blazers,
764,15,2025-02-12 00:10:00,Wells Fargo Center,Philadelphia 76ers,Toronto Raptors,
765,15,2025-02-12 00:40:00,Gainbridge Fieldhouse,Indiana Pacers,New York Knicks,
766,15,2025-02-12 01:10:00,United Center,Chicago Bulls,Detroit Pistons,
767,15,2025-02-12 03:10:00,Footprint Center,Phoenix Suns,Memphis Grizzlies,
768,15,2025-02-12 03:40:00,Crypto.com Arena,Los Angeles Lakers,Utah Jazz,
769,15,2025-02-13 00:10:00,TD Garden,Boston Celtics,San Antonio Spurs,
770,15,2025-02-13 00:10:00,Kia Center,Orlando Magic,Charlotte Hornets,
771,15,2025-02-13 00:10:00,Capital One Arena,Washington Wizards,Indiana Pacers,
772,15,2025-02-13 00:40:00,Barclays Center,Brooklyn Nets,Philadelphia 76ers,
773,15,2025-02-13 00:40:00,Madison Square Garden,New York Knicks,Atlanta Hawks,
774,15,2025-02-13 00:40:00,Scotiabank Arena,Toronto Raptors,Cleveland Cavaliers,
775,15,2025-02-13 01:10:00,United Center,Chicago Bulls,Detroit Pistons,
776,15,2025-02-13 01:10:00,Target Center,Minnesota Timberwolves,Milwaukee Bucks,
777,15,2025-02-13 01:10:00,Smoothie King Center,New Orleans Pelicans,Sacramento Kings,
778,15,2025-02-13 01:10:00,Paycom Center,Oklahoma City Thunder,Miami Heat,
779,15,2025-02-13 01:40:00,Toyota Center,Houston Rockets,Phoenix Suns,
780,15,2025-02-13 02:10:00,Ball Arena,Denver Nuggets,Portland Trail Blazers,
781,15,2025-02-13 02:10:00,Delta Center,Utah Jazz,Los Angeles Lakers,
782,15,2025-02-13 02:40:00,American Airlines Center,Dallas Mavericks,Golden State Warriors,
783,15,2025-02-13 03:40:00,Intuit Dome,LA Clippers,Memphis Grizzlies,
784,16,2025-02-14 01:10:00,Toyota Center,Houston Rockets,Golden State Warriors,
785,16,2025-02-14 01:10:00,Smoothie King Center,New Orleans Pelicans,Sacramento Kings,
786,16,2025-02-14 01:40:00,American Airlines Center,Dallas Mavericks,Miami Heat,
787,16,2025-02-14 01:40:00,Target Center,Minnesota Timberwolves,Oklahoma City Thunder,
788,16,2025-02-21 00:10:00,Gainbridge Fieldhouse,Indiana Pacers,Memphis Grizzlies,
789,16,2025-02-21 00:10:00,Wells Fargo Center,Philadelphia 76ers,Boston Celtics,
790,16,2025-02-21 00:40:00,State Farm Arena,Atlanta Hawks,Orlando Magic,
791,16,2025-02-21 00:40:00,Barclays Center,Brooklyn Nets,Cleveland Cavaliers,
792,16,2025-02-21 00:40:00,Madison Square Garden,New York Knicks,Chicago Bulls,
793,16,2025-02-21 01:10:00,Fiserv Forum,Milwaukee Bucks,LA Clippers,
794,16,2025-02-21 02:10:00,Ball Arena,Denver Nuggets,Charlotte Hornets,
795,16,2025-02-21 02:40:00,Moody Center,San Antonio Spurs,Phoenix Suns,
796,16,2025-02-21 03:10:00,Moda Center,Portland Trail Blazers,Los Angeles Lakers,
797,16,2025-02-22 00:10:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,New York Knicks,
798,16,2025-02-22 00:10:00,Kia Center,Orlando Magic,Memphis Grizzlies,
799,16,2025-02-22 00:10:00,Capital One Arena,Washington Wizards,Milwaukee Bucks,
800,16,2025-02-22 00:40:00,Scotiabank Arena,Toronto Raptors,Miami Heat,
801,16,2025-02-22 01:10:00,Toyota Center,Houston Rockets,Minnesota Timberwolves,
802,16,2025-02-22 01:40:00,Moody Center,San Antonio Spurs,Detroit Pistons,
803,16,2025-02-22 02:40:00,American Airlines Center,Dallas Mavericks,New Orleans Pelicans,
804,16,2025-02-22 02:40:00,Delta Center,Utah Jazz,Oklahoma City Thunder,
805,16,2025-02-22 03:10:00,Golden 1 Center,Sacramento Kings,Golden State Warriors,
806,16,2025-02-22 22:10:00,United Center,Chicago Bulls,Phoenix Suns,
807,16,2025-02-23 00:40:00,Wells Fargo Center,Philadelphia 76ers,Brooklyn Nets,
808,16,2025-02-23 01:40:00,Ball Arena,Denver Nuggets,Los Angeles Lakers,
809,16,2025-02-23 02:40:00,Delta Center,Utah Jazz,Houston Rockets,
810,16,2025-02-23 03:10:00,Moda Center,Portland Trail Blazers,Charlotte Hornets,
811,16,2025-02-23 18:10:00,TD Garden,Boston Celtics,New York Knicks,
812,16,2025-02-23 20:40:00,Chase Center,Golden State Warriors,Dallas Mavericks,
813,16,2025-02-23 22:10:00,Gainbridge Fieldhouse,Indiana Pacers,LA Clippers,
814,16,2025-02-23 23:10:00,State Farm Arena,Atlanta Hawks,Detroit Pistons,
815,16,2025-02-23 23:10:00,Kia Center,Orlando Magic,Washington Wizards,
816,16,2025-02-23 23:10:00,Scotiabank Arena,Toronto Raptors,Phoenix Suns,
817,16,2025-02-24 00:10:00,Fiserv Forum,Milwaukee Bucks,Miami Heat,
818,16,2025-02-24 00:10:00,Smoothie King Center,New Orleans Pelicans,San Antonio Spurs,
819,16,2025-02-24 00:40:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Memphis Grizzlies,
820,16,2025-02-24 02:40:00,Target Center,Minnesota Timberwolves,Oklahoma City Thunder,
821,16,2025-02-25 00:10:00,Little Caesars Arena,Detroit Pistons,LA Clippers,
822,16,2025-02-25 00:10:00,Gainbridge Fieldhouse,Indiana Pacers,Denver Nuggets,
823,16,2025-02-25 00:10:00,Wells Fargo Center,Philadelphia 76ers,Chicago Bulls,
824,16,2025-02-25 00:10:00,Capital One Arena,Washington Wizards,Brooklyn Nets,
825,16,2025-02-25 00:40:00,State Farm Arena,Atlanta Hawks,Miami Heat,
826,16,2025-02-25 01:10:00,Paycom Center,Oklahoma City Thunder,Minnesota Timberwolves,
827,16,2025-02-25 02:10:00,Delta Center,Utah Jazz,Portland Trail Blazers,
828,16,2025-02-25 03:10:00,Golden 1 Center,Sacramento Kings,Charlotte Hornets,
829,16,2025-02-26 00:10:00,Scotiabank Arena,Toronto Raptors,Boston Celtics,
830,16,2025-02-26 00:40:00,Kia Center,Orlando Magic,Cleveland Cavaliers,
831,16,2025-02-26 01:10:00,Toyota Center,Houston Rockets,Milwaukee Bucks,
832,16,2025-02-26 01:10:00,FedExForum,Memphis Grizzlies,Phoenix Suns,
833,16,2025-02-26 01:10:00,Smoothie King Center,New Orleans Pelicans,San Antonio Spurs,
834,16,2025-02-26 03:10:00,Chase Center,Golden State Warriors,Charlotte Hornets,
835,16,2025-02-26 03:10:00,Crypto.com Arena,Los Angeles Lakers,Dallas Mavericks,
836,17,2025-02-27 00:10:00,Little Caesars Arena,Detroit Pistons,Boston Celtics,
837,17,2025-02-27 00:10:00,Gainbridge Fieldhouse,Indiana Pacers,Toronto Raptors,
838,17,2025-02-27 00:10:00,Madison Square Garden,New York Knicks,Philadelphia 76ers,
839,17,2025-02-27 00:10:00,Capital One Arena,Washington Wizards,Portland Trail Blazers,
840,17,2025-02-27 00:40:00,Barclays Center,Brooklyn Nets,Oklahoma City Thunder,
841,17,2025-02-27 00:40:00,Kaseya Center,Miami Heat,Atlanta Hawks,
842,17,2025-02-27 01:10:00,United Center,Chicago Bulls,LA Clippers,
843,17,2025-02-27 02:10:00,Delta Center,Utah Jazz,Sacramento Kings,
844,17,2025-02-27 02:40:00,Toyota Center,Houston Rockets,San Antonio Spurs,
845,17,2025-02-28 00:10:00,Kia Center,Orlando Magic,Golden State Warriors,
846,17,2025-02-28 00:40:00,Fiserv Forum,Milwaukee Bucks,Denver Nuggets,
847,17,2025-02-28 01:40:00,American Airlines Center,Dallas Mavericks,Charlotte Hornets,
848,17,2025-02-28 03:10:00,Footprint Center,Phoenix Suns,New Orleans Pelicans,
849,17,2025-02-28 03:40:00,Crypto.com Arena,Los Angeles Lakers,Minnesota Timberwolves,
850,17,2025-03-01 00:10:00,Little Caesars Arena,Detroit Pistons,Denver Nuggets,
851,17,2025-03-01 00:40:00,State Farm Arena,Atlanta Hawks,Oklahoma City Thunder,
852,17,2025-03-01 00:40:00,TD Garden,Boston Celtics,Cleveland Cavaliers,
853,17,2025-03-01 00:40:00,Barclays Center,Brooklyn Nets,Portland Trail Blazers,
854,17,2025-03-01 01:10:00,Kaseya Center,Miami Heat,Indiana Pacers,
855,17,2025-03-01 01:10:00,United Center,Chicago Bulls,Toronto Raptors,
856,17,2025-03-01 01:10:00,FedExForum,Memphis Grizzlies,New York Knicks,
857,17,2025-03-01 02:10:00,Footprint Center,Phoenix Suns,New Orleans Pelicans,
858,17,2025-03-01 02:40:00,Delta Center,Utah Jazz,Minnesota Timberwolves,
859,17,2025-03-01 03:10:00,Crypto.com Arena,Los Angeles Lakers,LA Clippers,
860,17,2025-03-01 23:10:00,Spectrum Center,Charlotte Hornets,Washington Wizards,
861,17,2025-03-02 00:10:00,Little Caesars Arena,Detroit Pistons,Brooklyn Nets,
862,17,2025-03-02 01:10:00,Toyota Center,Houston Rockets,Sacramento Kings,
863,17,2025-03-02 01:10:00,FedExForum,Memphis Grizzlies,San Antonio Spurs,
864,17,2025-03-02 01:40:00,Wells Fargo Center,Philadelphia 76ers,Golden State Warriors,
865,17,2025-03-02 01:40:00,American Airlines Center,Dallas Mavericks,Milwaukee Bucks,
