Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1027,20,2025-03-23 02:10:00,Golden 1 Center,Sacramento Kings,Milwaukee Bucks,
1028,20,2025-03-23 02:40:00,Crypto.com Arena,Los Angeles Lakers,Chicago Bulls,
1029,20,2025-03-23 19:10:00,Little Caesars Arena,Detroit Pistons,New Orleans Pelicans,
1030,20,2025-03-23 19:40:00,Delta Center,Utah Jazz,Cleveland Cavaliers,
1031,20,2025-03-23 22:10:00,State Farm Arena,Atlanta Hawks,Philadelphia 76ers,
1032,20,2025-03-23 22:10:00,Kaseya Center,Miami Heat,Charlotte Hornets,
1033,20,2025-03-23 22:10:00,Scotiabank Arena,Toronto Raptors,San Antonio Spurs,
1034,20,2025-03-23 22:10:00,Moda Center,Portland Trail Blazers,Boston Celtics,
1035,20,2025-03-23 23:10:00,Toyota Center,Houston Rockets,Denver Nuggets,
1036,20,2025-03-24 01:10:00,Intuit Dome,LA Clippers,Oklahoma City Thunder,
1037,20,2025-03-24 23:10:00,Gainbridge Fieldhouse,Indiana Pacers,Minnesota Timberwolves,
1038,20,2025-03-24 23:10:00,Kia Center,Orlando Magic,Los Angeles Lakers,
1039,20,2025-03-24 23:10:00,Capital One Arena,Washington Wizards,Toronto Raptors,
1040,20,2025-03-24 23:40:00,Barclays Center,Brooklyn Nets,Dallas Mavericks,
1041,20,2025-03-25 00:10:00,Smoothie King Center,New Orleans Pelicans,Philadelphia 76ers,
1042,20,2025-03-25 01:10:00,Ball Arena,Denver Nuggets,Chicago Bulls,
1043,20,2025-03-25 02:10:00,Footprint Center,Phoenix Suns,Milwaukee Bucks,
1044,20,2025-03-25 02:10:00,Golden 1 Center,Sacramento Kings,Boston Celtics,
1045,20,2025-03-25 23:10:00,Spectrum Center,Charlotte Hornets,Orlando Magic,
1046,20,2025-03-25 23:10:00,Little Caesars Arena,Detroit Pistons,San Antonio Spurs,
1047,20,2025-03-25 23:40:00,Kaseya Center,Miami Heat,Golden State Warriors,
1048,20,2025-03-25 23:40:00,Madison Square Garden,New York Knicks,Dallas Mavericks,
1049,20,2025-03-26 00:10:00,Toyota Center,Houston Rockets,Atlanta Hawks,
1050,20,2025-03-26 01:10:00,Delta Center,Utah Jazz,Memphis Grizzlies,
1051,20,2025-03-26 02:10:00,Moda Center,Portland Trail Blazers,Cleveland Cavaliers,
1052,20,2025-03-26 02:10:00,Golden 1 Center,Sacramento Kings,Oklahoma City Thunder,
1053,21,2025-03-26 23:10:00,Wells Fargo Center,Philadelphia 76ers,Washington Wizards,
1054,21,2025-03-26 23:40:00,Barclays Center,Brooklyn Nets,Toronto Raptors,
1055,21,2025-03-26 23:40:00,Gainbridge Fieldhouse,Indiana Pacers,Los Angeles Lakers,
1056,21,2025-03-26 23:40:00,Madison Square Garden,New York Knicks,LA Clippers,
1057,21,2025-03-27 01:10:00,Ball Arena,Denver Nuggets,Milwaukee Bucks,
1058,21,2025-03-27 02:10:00,Footprint Center,Phoenix Suns,Boston Celtics,
1059,21,2025-03-27 23:10:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,San Antonio Spurs,
1060,21,2025-03-27 23:10:00,Kia Center,Orlando Magic,Dallas Mavericks,
